col-span-full,chapter-item href,rounded src,text-sm,me-1
Section 1 – Intro to AI Art and Midjourney,,,,
,https://skillleap.ai/programs/mastering-midjourney-course?cid=3863645&permalink=11-midjourney-introduction,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F11-midjourney-introduction.1726588126.jpg,1.1 Midjourney Introduction,02:20
,https://skillleap.ai/programs/mastering-midjourney-course?cid=3863646&permalink=12-signing-up-for-midjourney-and-navigating-the-website,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F12-signing-up-for-midjourney-and-navigating-the-website.1726510915.jpg,1.2 Signing Up For Midjourney And Navigating The Website,07:15
,https://skillleap.ai/programs/mastering-midjourney-course?cid=3863647&permalink=13-choosing-a-subscription,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F13-choosing-a-subscription.1726518125.jpg,1.3 Choosing A Subscription,03:01
Section 2 – Prompts and Fundamentals,,,,
,https://skillleap.ai/programs/mastering-midjourney-course?cid=3863649&permalink=21-your-first-midjourney-prompt,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F21-writing-your-first-midjourney-prompt.1726518832.jpg,2.1 Your First Midjourney Prompt,07:12
,https://skillleap.ai/programs/mastering-midjourney-course?cid=3863651&permalink=22-experimenting-with-mediums-styles-and-themes,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F22-experimenting-with-mediums-styles-and-themes.1726518968.jpg,"2.2 Experimenting With Mediums, Styles, And Themes",02:46
,https://skillleap.ai/programs/mastering-midjourney-course?cid=3863650&permalink=23-composition-and-lighting,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F23-composition-and-lighting.1726519218.jpg,2.3 Composition And Lighting,03:14
,https://skillleap.ai/programs/mastering-midjourney-course?cid=3863652&permalink=24-image-prompts-and-blending,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F24-image-prompts-and-blending.1726520349.jpg,2.4 Image Prompts And Blending,05:28
,https://skillleap.ai/programs/mastering-midjourney-course?cid=3863653&permalink=25-style-references,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F25-style-references.1726521274.jpg,2.5 Style References,04:46
